Id,Prediction
0,4604040.261125444
1,3840516.9403652456
2,3399000.2230331907
3,3827852.103893784
4,3384684.775101324
5,3563897.3765022466
6,4686464.058113982
7,3393832.941688573
8,6639271.486929059
9,6009351.494223777
10,3927529.038364751
11,3389322.0019994397
12,6757932.242903035
13,5614352.461959472
14,3392310.27172433
15,3394741.9308085893
16,7320390.826662686
17,4410909.331112816
18,3439361.336017783
19,3791482.8678840837
20,6388943.703294566
21,3468913.583276759
22,6393746.148265918
23,6590562.810324831
24,3350206.9620518377
25,3433333.388148192
26,3394472.0537421396
27,3623974.8292452823
28,6521804.366146963
29,3401404.5484694187
30,6799554.4339216035
31,3490418.676236107
32,3387861.6805953607
33,6618671.371588827
34,3565950.0171181527
35,3919486.487111891
36,4958253.536800111
37,6912135.184384026
38,3427603.8755075163
39,3950521.9320026767
40,3514207.9483851604
41,3384801.00405573
42,3358496.149166434
43,6470861.40032313
44,7121217.458828104
45,3389008.289029492
46,3390299.833263583
47,3473431.4203407606
48,3465160.306739981
49,6710477.306863526
50,6541361.426816579
51,6739322.226191641
52,3550491.442464841
53,3805735.7257858524
54,3407282.1433082963
55,3598368.0539621776
56,6640663.011653146
57,4660114.115038878
58,6134776.807281346
59,6608888.692154463
60,5388917.529469544
61,6470803.783890355
62,4373045.244656071
63,3409956.329926459
64,6173364.388166001
65,6551513.219377037
66,6411534.999231478
67,6781349.376552303
68,4189194.6989279347
69,3432076.605957584
70,3410588.982711719
71,4369392.2705626
72,3853900.8182588173
73,5816855.453120886
74,6679361.445416264
75,6557861.593643235
76,6719515.087279818
77,3421917.29627728
78,3576406.088192908
79,3401004.6636734204
80,6890973.221217659
81,3416484.246939681
82,6826345.342313193
83,6436813.993317054
84,6680704.006441167
85,3388481.4521560385
86,3392287.307469832
87,3386709.602393007
88,6433895.079542214
89,3498652.1652967487
90,6508422.341693912
91,6486576.819312457
92,3392367.6920286515
93,3368561.662241005
94,6429475.9726435
95,7185641.0037645595
96,3435134.539362059
97,3499488.9707809454
98,4487809.797131467
99,4591231.636763489
100,6543504.461196432
101,3395651.702519436
102,6677066.562005905
103,6406500.724538163
104,6360657.721412514
105,3811608.1777895787
106,6707308.785948262
107,6587147.19965012
108,6507587.7898633145
109,3387540.3746264484
110,8720308.146261804
111,7922543.927371685
112,3420728.5158788725
113,3388718.604404051
114,4338265.048112259
115,3939671.138706021
116,3592807.8780571325
117,5528317.570701442
118,3390445.3115330837
119,6433784.765961975
120,5241458.106984306
121,6674117.319391237
122,4116381.3070510714
123,6615070.033830357
124,3447829.325814044
125,3439274.3938549436
126,5978274.966090733
127,3946014.836967486
128,7189062.04184912
129,4064208.1387096266
130,4208352.856924229
131,4096344.5290721925
132,6619866.919337083
133,4488626.649472877
134,3391543.3603927973
135,3660304.5599982534
136,4992530.819836974
137,3909849.300854979
138,7115390.487280494
139,3417737.7003209647
140,7005338.832745718
141,6373003.559104581
142,6375739.109959595
143,6421141.511214467
144,3824701.2552223476
145,3388844.753705527
146,3385144.3742485303
147,3755463.3656747993
148,5596656.312713625
149,3834566.269494282
150,6463822.208159371
151,6446867.9801693745
152,6479072.353172005
153,6606810.352942626
154,5929770.579991292
155,6737309.844460948
156,6602782.438448072
157,3705318.593288461
158,3417203.187552532
159,3386037.222629342
160,3391775.999281624
161,6480548.95609738
162,6368057.989633799
163,3445270.6457812847
164,6800393.74375759
165,6548896.1821497055
166,3405344.7650385126
167,3390124.125778119
168,3389549.462284812
169,3379687.6576059745
170,3439775.0684818397
171,3457215.5045715338
172,4026976.53051362
173,6475116.789105291
174,4141994.113613476
175,3386291.8601179915
176,6573823.793598161
177,3451175.1351383263
178,4314031.407118447
179,3458605.3841026598
180,6428052.029847942
181,3394521.3679431705
182,6592816.397648813
183,6741018.386900549
184,3963091.1936185816
185,3669171.3003014694
186,6481858.257375348
187,3382175.6599142086
188,6639722.770644278
189,6600564.5735925445
190,7419537.612234414
191,3385344.5929725263
192,6511423.245401041
193,5879062.322581872
194,3592601.1938136863
195,5232215.66839559
196,7141081.816007687
197,3383641.5685464772
198,3385721.678880681
199,3410448.659368319
200,6719645.129070567
201,4140492.466649181
202,6486284.954727029
203,6451567.762085788
204,6700509.994279564
205,6554194.650021266
206,7365094.483470455
207,4222584.9938473385
208,3398460.0404890217
209,3688183.884915578
210,6702819.411695976
211,4300890.708682953
212,6424205.563791169
213,3387516.8941251617
214,7034564.135165647
215,3424247.386124463
216,5399807.694262356
217,5045560.925396282
218,4321080.108541173
219,6387133.387806065
220,6524357.517304108
221,4553619.563470216
222,6550410.095394678
223,5880133.123439343
224,3435680.1132719186
225,7372041.207757211
226,6550865.248602375
227,6563148.3321114825
228,3859128.327172969
229,3601153.5829501143
230,6834306.926006682
231,6914386.906594702
232,3407239.0311411535
233,4843716.313240498
234,3386695.160201242
235,4331527.25196372
236,4215302.446795688
237,3398062.6966140275
238,6748071.806410205
239,3441477.005353219
240,4715179.719241576
241,6333051.254525548
242,3565656.9015076184
243,4360130.569849555
244,3693564.1801528195
245,6676398.560287088
246,5236378.589343705
247,5284130.562534783
248,6849640.588469825
249,6537014.319593752
250,6271343.840620898
251,6587814.159010384
252,7640419.348806114
253,3535416.54962518
254,5975723.778705621
255,6791769.714877191
256,3432566.2655517487
257,6432833.862851148
258,3394994.1373619824
259,6522963.652835444
260,3503899.056656221
261,3733735.870869903
262,3516327.2134065703
263,3846407.468929027
264,3479104.8230053056
265,3397425.895391896
266,6460592.895098952
267,6584393.260691087
268,4236681.00571037
269,3387645.1949134776
270,3443971.4724619207
271,6394648.109492978
272,6274529.504976101
273,6560624.462113986
274,3573703.0370369675
275,3373003.8482924253
276,6749219.651214319
277,3623619.202802595
278,6502722.372103572
279,4316446.433185566
280,3886638.8633158426
281,6411734.919280264
282,6528394.977912426
283,6417816.437011981
284,3449138.873225586
285,4800316.295521662
286,3786587.940274258
287,7150822.166868053
288,6785616.273955666
289,3385504.1958790743
290,3490397.558737314
291,3619946.6277817315
292,3407160.1236269055
293,4272133.81119106
294,6346334.2156911045
295,4098073.512603008
296,6473547.501872057
297,3591746.2859741743
298,5392340.028769819
299,4334674.906701816
300,3386896.679208818
301,3387598.832681574
302,6632138.640677098
303,6452078.575627596
304,6535018.135112793
305,8353219.968144954
306,3398642.349254703
307,6406447.9392099595
308,3602480.1605571886
309,3389857.7576057795
310,6463287.477595632
311,4143865.0201633684
312,6549556.76950737
313,8064609.255709167
314,3383666.6090638693
315,3411820.7121624304
316,4702250.846940886
317,4321841.440439705
318,7343227.791620311
319,6827638.160589806
320,6536009.029311988
321,4319820.132263548
322,6418034.939025132
323,3548984.3996006446
324,3433162.9356356915
325,7027180.64194232
326,6689193.516355816
327,3394163.4933296307
328,3415244.498850625
329,6652278.965373278
330,3393705.4800659637
331,6699583.072992413
332,6718790.824548533
333,6766139.493128921
334,6569423.253134661
335,4027263.223005186
336,4057920.9341782904
337,6395510.412252332
338,3387196.2377986554
339,3752329.849585948
340,3432436.4551766557
341,3538559.3707071077
342,4600521.791126554
343,3588680.7385526
344,6533150.32969108
345,3427410.9962524404
346,3390202.9509143773
347,6609974.672796834
348,6422877.596373262
349,6446250.900660751
350,3409689.138795144
351,3399237.765056003
352,6611837.907816998
353,3398926.741317141
354,3386628.2672244282
355,3373885.250131485
356,3528079.217592501
357,3400427.6371051013
358,4745584.767231431
359,6576463.336656889
360,5496528.477944568
361,4428974.27784874
362,4119053.517446425
363,6400168.655598385
364,6452476.124938566
365,6573320.250632323
366,6473549.629747998
367,5293681.048143614
368,5592359.704801523
369,3389508.3904161314
370,4942586.239206805
371,6567818.467338325
372,6458286.168507093
373,4298177.785321478
374,6523184.634988928
375,3822688.81028682
376,6511258.891178443
377,6701317.177552823
378,3839514.5812730687
379,3389599.5341233416
380,6699795.087002711
381,3810299.170158897
382,3393878.3546948545
383,3378523.122558778
384,6391094.948467128
385,6588826.999948269
386,4072145.900959052
387,6632043.69387971
388,3399760.102364207
389,7808588.786426234
390,3828042.360299386
391,4590300.753886513
392,3436160.4719572775
393,6474073.907717208
394,3396698.8430883456
395,3394001.30154224
396,6629217.836119242
397,3528622.0902277865
398,6425989.00448427
399,6544201.671000641
400,6325550.788447115
401,3779517.318267568
402,3639581.279766303
403,6476509.171752957
404,3400664.135968909
405,3394054.482693756
406,6512688.459385693
407,3390675.6036596275
408,3779870.396722631
409,3406400.821813013
410,4690750.558781701
411,3383811.0381513494
412,6461619.4965273505
413,7131804.951142399
414,3722357.6632000846
415,7274711.354965147
416,4365550.63421895
417,5167178.907531768
418,6439750.316342889
419,6472448.959212063
420,3442938.758610037
421,3907594.9317970853
422,6602179.114952685
423,3391085.869786604
424,3386196.5157824825
425,3430607.4044596897
426,3497701.650315271
427,3388787.854946411
428,3599265.7818647907
429,3481366.074426798
430,6355787.548621554
431,6575393.283290643
432,3563512.0283521074
433,6699802.003423037
434,3394515.138268869
435,3797783.34612416
436,3847505.0294741057
437,3785154.730661204
438,6536569.221980732
439,6615695.600599946
440,3600383.3091007746
441,3389300.3021092806
442,6548319.339354877
443,7656329.686873366
444,4230160.537509143
445,3390703.3659428176
446,6653114.182486866
447,3430965.6737130117
448,6632734.698473418
449,3461748.1450855755
450,6695620.631404577
451,6449517.277899649
452,3387805.1616915185
453,3526521.8022522684
454,6134778.477579292
455,6587389.507499776
456,4354753.335656385
457,6700537.035747508
458,4279938.427673262
459,3388005.6967751407
460,3412645.6579925003
461,3400281.0000589937
462,6545085.663742351
463,3791722.0127457744
464,6823681.06977621
465,6468074.452733367
466,6456081.368676484
467,4378837.2578994315
468,3387958.498208769
469,6938357.269955185
470,6458241.063215303
471,6866869.735336807
472,6363091.952886836
473,6435054.988412868
474,6626390.053086787
475,4795437.517860198
476,4617135.034639166
477,3100038.3771915585
478,4858397.728129329
479,3384416.5831322717
480,8527497.510595419
481,6549647.723383728
482,3512311.095907686
483,4630595.972245827
484,3581285.853358264
485,6533804.58748755
486,3392373.1157768816
487,3393567.502034628
488,3242992.6049589613
489,3397114.951065922
490,6446826.5652332995
491,3429040.649168663
492,3587860.847291767
493,3705583.393958153
494,6545465.55250407
495,5907081.730141622
496,6560184.404552544
497,6545649.655921593
498,3577427.8423190196
499,6477632.920543712
500,3389081.2262786683
501,3757213.1726159514
502,3843683.3180128653
503,3411274.324475422
504,6452176.685881261
505,3392529.357346518
506,6807092.481569606
507,3376267.72573036
508,3423810.388305451
509,6699282.2705471255
510,3531183.160956273
511,3385882.989954404
512,3384775.253955766
513,6508315.581821932
514,6615990.919887128
515,3789736.571205301
516,3403317.30005791
517,3945619.2937806267
518,3399510.975800905
519,3560140.9205948524
520,6529100.933616405
521,6464848.116732117
522,3393356.028889203
523,3497918.0578375785
524,3383408.756577458
525,3874795.7026521456
526,3545047.441698875
527,3945230.482168903
528,6453597.794772329
529,3483801.342138486
530,4163576.587496088
531,6458788.75669935
532,6702363.372575164
533,3438848.4639228894
534,6467920.197142227
535,6442957.50869716
536,3774951.4711424606
537,7109511.2680334095
538,5384698.652769179
539,6635658.281446646
540,7085966.635654143
541,7420661.403020867
542,3386144.9949864703
543,4176597.7151330775
544,3390123.1759281605
545,3386873.2632963844
546,3489836.329214574
547,6483509.198990721
548,3523199.7111218898
549,6423078.177353937
550,5637353.2290455075
551,3547037.789501387
552,6379615.500074223
553,6685459.189085493
554,3389472.4046412725
555,6754565.172438966
556,3385048.309248536
557,6540523.909869346
558,6426879.363900883
559,3381443.1735617016
560,6542809.443944266
561,6570035.824814595
562,4240672.25226519
563,3523654.0899156933
564,6421976.965104029
565,6611623.541311471
566,3385753.125139433
567,6470703.713152541
568,4235644.886099727
569,5800047.122016868
570,3455040.8042900194
571,3384155.8504543332
572,6403423.571774306
573,3386764.271293633
574,6464327.442327773
575,3397384.851930309
576,6691820.218630312
577,6265873.663141236
578,5385405.790803734
579,3619902.037722908
580,6171241.212256109
581,6350307.503730994
582,3396786.0287285154
583,6524032.832210377
584,4696549.2272147825
585,5867725.998701682
586,6021836.296032445
587,5632022.785822988
588,3386275.011002211
589,7357245.719092729
590,6689330.692364952
591,3389290.1842743973
592,6555119.618725646
593,5510814.584286148
594,5503114.77171422
595,6396251.635811804
596,3914635.0917827305
597,3413606.7372165048
598,3394790.7589382273
599,6472474.923481611
600,6758628.720360204
601,3543094.864294572
602,6854129.959852377
603,4743108.512700418
604,6365683.442832859
605,3422010.2379866717
606,4058315.2849603305
607,6414793.208414858
608,6484982.270716203
609,6735567.13658275
610,6814300.578769648
611,3806800.740561462
612,6401493.181219403
613,6511717.809084711
614,4418766.228376221
615,6444505.432722225
616,6643055.478910102
617,6461189.21254629
618,6522567.124937948
619,3358259.209672048
620,6873004.134972443
621,6681919.656933952
622,3925549.2773146993
623,3394727.49536031
624,6020782.690966498
625,6861904.78002399
626,3399371.219160849
627,3899257.8207794433
628,3802938.0043421146
629,6662315.0722402055
630,6667513.439822082
631,6586519.759089244
632,6629478.062759137
633,6568780.068720682
634,4315162.21409685
635,3998342.9608280226
636,6765237.08991904
637,3390163.4164800434
638,3969560.6058025276
639,8149758.768944509
640,3290598.916931776
641,7077635.914959244
642,3740510.07108648
643,3290012.394458818
644,6462919.144561342
645,3495670.7365606087
646,6585168.119700352
647,5309726.486650976
648,6581541.456883134
649,4813631.886839851
650,3807688.6063215714
651,6409107.607764449
652,6456305.993039452
653,3391983.1733796624
654,3392811.225441163
655,6598868.687258545
656,4477138.923496993
657,3387195.5641259714
658,6122389.070609518
659,3547713.942829975
660,6739911.216745293
661,6649859.217154351
662,6706138.257523661
663,5449430.409548787
664,3402815.497645664
665,3398850.8271557707
666,3833785.3413883364
667,3387898.6200754205
668,6558670.908345987
669,4425784.519379256
670,6614265.06736138
671,6543859.568836544
672,4191521.5700556394
673,3395588.8573360434
674,6516491.067314008
675,6527546.764953596
676,6638291.446798821
677,4455568.923757006
678,6373452.4490134
679,6695322.749374057
680,3587390.580676773
681,6583599.990675474
682,3434407.5901910886
683,4232708.5439005755
684,3391256.1344851675
685,3606678.4901695857
686,3392917.9360488215
687,3387716.6040827422
688,3412651.30680588
689,3426775.5432666345
690,3699548.044504449
691,3717476.174623006
692,6624372.154137915
693,3426232.1648356062
694,3486374.5825985326
695,3442458.1185485376
696,4556244.632565424
697,4230323.392254138
698,3393843.2650055033
699,4814642.225253584
700,6468811.39816387
701,3390185.616603963
702,6718461.5881305225
703,6401368.643691304
704,4335976.966490246
705,4919597.015440475
706,6455323.714939458
707,6789458.823848937
708,6546143.549296563
709,3563620.496663884
710,6486210.744045669
711,6689138.475470316
712,6502406.394290375
713,3391471.1441491893
714,3557624.5866733906
715,3798221.5322965663
716,3631566.8604674456
717,3388581.650961919
718,6675794.900961945
719,6654940.8261635685
720,5297134.359516926
721,6548038.467845118
722,3382287.1180235157
723,6420917.446696927
724,6415339.507374841
725,6458056.498083647
726,6413199.757934893
727,4930656.262243009
728,7604944.006414747
729,6522150.240379375
730,3392604.5264164614
731,4961110.430817016
732,3395142.9886618224
733,3389971.0570840514
734,7601651.917473417
735,3395211.4314017426
736,6536284.011470398
737,3391704.325335761
738,6507561.194254113
739,3369985.208185552
740,3400641.3009072286
741,3838550.3185645742
742,7649160.815069925
743,3384501.612116486
744,5745010.356995501
745,4053592.1337951915
746,3819900.767375496
747,3386897.2517257985
748,3741267.1010137997
749,6653957.129674166
750,6888709.80957805
751,3869425.098307294
752,5488184.750477113
753,3476869.5646507964
754,3614563.4099963442
755,4245908.414347821
756,3412107.87859292
757,7100420.733040695
758,6620155.948096974
759,6515611.598561313
760,6516065.129339637
761,4570165.597904506
762,6550580.45916444
763,4463717.523884635
764,6459267.024345031
765,3631833.021471675
766,3383556.9975607586
767,5332859.380541465
768,3388708.476414538
769,3451398.776945085
770,3389857.10319017
771,3384113.0866118725
772,6408946.580674434
773,3410563.1095062355
774,3425214.503923583
775,4335926.757607905
776,3796840.62780923
777,3387948.096528891
778,3922124.711123427
779,3601246.610422332
780,6496180.975745376
781,3391746.646824946
782,3468984.1264791354
783,6562347.410898481
784,6442829.335062148
785,4486251.550088483
786,3399315.7003880744
787,5299489.715056414
788,6405644.377095283
789,6697386.5609063925
790,3921646.9694670895
791,6721106.204620845
792,3921566.4211186594
793,3459818.844608296
794,3406665.424278794
795,6556852.957233483
796,3435307.028727755
797,6411687.96033681
798,6602063.649509747
799,6414567.4540804485
800,3395705.9475470134
801,6576730.697814293
802,3522510.6407281216
803,6432535.317834424
804,4222055.559530891
